metric,filter,breakdown,treatment,segment,delta,baselineMean,baselineSampleSize,testGroupMean,testGroupSampleSize,ci_70_interval,ci_70_intervalLower,ci_70_intervalUpper,ci_80_interval,ci_80_intervalLower,ci_80_intervalUpper,ci_90_interval,ci_90_intervalLower,ci_90_intervalUpper,ci_95_interval,ci_95_intervalLower,ci_95_intervalUpper,effectiveSampleSize,pvalue,sem,std
Purchase Consideration: Bud Light,Overall,Region,Bud Light: NFL Pros,Northeast,3.9,46.1,356.0,50.0,184,2.0,2.0,2.0,2.5,2.5,2.5,3.2,3.2,3.2,3.9,3.9,3.9,140.8,0.045,1.8,0.2
Purchase Consideration: Bud Light,Overall,Region,Bud Light: NFL Pros,South,1.1,46.4,936.0,47.5,451,1.7,1.7,1.7,2.1,2.1,2.1,2.6,2.6,2.6,3.1,3.1,3.1,344.4,0.49,1.4,0.1
Purchase Consideration: Bud Light,Overall,Region,Bud Light: NFL Pros,West,-1.6,46.5,397.0,45.0,169,2.9,2.9,2.9,3.5,3.5,3.5,4.5,4.5,4.5,5.4,5.4,5.4,133.8,0.573,2.4,0.2
Purchase Consideration: Bud Light,Overall,Region,Anheuser-Busch _ That’s Who We Are,Midwest,5.1,45.9,343.0,51.0,173,1.9,1.9,1.9,2.3,2.3,2.3,3.0,3.0,3.0,3.6,3.6,3.6,133.3,0.005,1.7,0.2
Purchase Consideration: Bud Light,Overall,Region,Anheuser-Busch _ That’s Who We Are,Northeast,5.7,46.1,356.0,51.7,209,2.1,2.1,2.1,2.6,2.6,2.6,3.4,3.4,3.4,4.0,4.0,4.0,154.5,0.006,1.8,0.2
Purchase Consideration: Bud Light,Overall,Region,Anheuser-Busch _ That’s Who We Are,South,4.6,46.4,936.0,51.0,438,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.7,2.7,2.7,324.7,0.001,1.4,0.1
Purchase Consideration: Bud Light,Overall,Region,Anheuser-Busch _ That’s Who We Are,West,2.1,46.5,397.0,48.6,141,2.6,2.6,2.6,3.3,3.3,3.3,4.2,4.2,4.2,5.0,5.0,5.0,101.2,0.421,2.2,0.2
Purchase Consideration: Bud Light,Overall,Store Preference,ULTRA Club New Members Day,Club stores,-0.5,47.1,177.0,46.6,97,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,76.5,0.701,1.4,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,ULTRA Club New Members Day,Grocery stores ,-0.2,45.0,1149.0,44.8,550,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,419.6,0.891,1.3,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,ULTRA Club New Members Day,Liquor Stores ,-0.7,48.6,572.0,47.9,274,1.5,1.5,1.5,1.9,1.9,1.9,2.5,2.5,2.5,2.9,2.9,2.9,211.1,0.635,1.3,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,ULTRA Club New Members Day,Natural food stores,-1.1,46.4,194.0,45.3,113,1.2,1.2,1.2,1.5,1.5,1.5,2.0,2.0,2.0,2.4,2.4,2.4,86.2,0.348,1.3,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,The Busch Guide: Shelter,Club stores,4.4,47.1,177.0,51.5,83,1.5,1.5,1.5,1.8,1.8,1.8,2.3,2.3,2.3,2.8,2.8,2.8,65.4,0.002,1.5,0.2
Purchase Consideration: Bud Light,Overall,Store Preference,The Busch Guide: Shelter,Grocery stores ,4.6,45.0,1149.0,49.6,557,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,418.7,0.004,1.5,0.2
Purchase Consideration: Bud Light,Overall,Store Preference,The Busch Guide: Shelter,Liquor Stores ,4.6,48.6,572.0,53.2,298,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.0,3.0,3.0,230.8,0.003,1.5,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,The Busch Guide: Shelter,Natural food stores,3.7,46.4,194.0,50.2,99,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,75.6,0.011,1.5,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Bud Light: Easy to Summer.mp4,Club stores,4.7,47.1,177.0,51.8,97,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,72.6,0.0,1.4,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Bud Light: Easy to Summer.mp4,Grocery stores ,4.3,45.0,1149.0,49.3,542,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,405.9,0.002,1.3,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Bud Light: Easy to Summer.mp4,Liquor Stores ,4.5,48.6,572.0,53.1,278,1.3,1.3,1.3,1.6,1.6,1.6,2.1,2.1,2.1,2.5,2.5,2.5,217.2,0.0,1.3,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Bud Light: Easy to Summer.mp4,Natural food stores,4.1,46.4,194.0,50.5,116,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,85.3,0.002,1.4,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Budweiser: Griffey Father’s Day,Club stores,3.3,47.1,177.0,50.4,91,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,69.3,0.033,1.5,0.2
Purchase Consideration: Bud Light,Overall,Store Preference,Budweiser: Griffey Father’s Day,Grocery stores ,2.7,45.0,1149.0,47.7,549,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,408.5,0.087,1.4,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Budweiser: Griffey Father’s Day,Liquor Stores ,1.9,48.6,572.0,50.6,280,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,219.6,0.22,1.5,0.2
Purchase Consideration: Bud Light,Overall,Store Preference,Budweiser: Griffey Father’s Day,Natural food stores,3.0,46.4,194.0,49.5,105,1.5,1.5,1.5,1.8,1.8,1.8,2.4,2.4,2.4,2.8,2.8,2.8,74.5,0.035,1.5,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Bud Light: NFL Pros,Club stores,1.5,47.1,177.0,48.6,82,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,3.0,3.0,3.0,62.0,0.325,1.4,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Bud Light: NFL Pros,Grocery stores ,0.8,45.0,1149.0,45.8,560,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,431.7,0.614,1.3,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Bud Light: NFL Pros,Liquor Stores ,1.2,48.6,572.0,49.8,296,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,225.6,0.439,1.3,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Bud Light: NFL Pros,Natural food stores,1.2,46.4,194.0,47.6,102,1.5,1.5,1.5,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,90.7,0.39,1.4,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Anheuser-Busch _ That’s Who We Are,Club stores,4.4,47.1,177.0,51.5,66,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,48.6,0.002,1.5,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Anheuser-Busch _ That’s Who We Are,Grocery stores ,4.2,45.0,1149.0,49.3,528,1.5,1.5,1.5,1.8,1.8,1.8,2.4,2.4,2.4,2.8,2.8,2.8,388.5,0.003,1.3,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Anheuser-Busch _ That’s Who We Are,Liquor Stores ,4.7,48.6,572.0,53.3,294,1.5,1.5,1.5,1.8,1.8,1.8,2.3,2.3,2.3,2.8,2.8,2.8,217.4,0.001,1.3,0.1
Purchase Consideration: Bud Light,Overall,Store Preference,Anheuser-Busch _ That’s Who We Are,Natural food stores,4.8,46.4,194.0,51.2,97,1.3,1.3,1.3,1.6,1.6,1.6,2.1,2.1,2.1,2.5,2.5,2.5,74.0,0.0,1.5,0.1
Purchase Consideration: Bud Light,Overall,Urbanization,ULTRA Club New Members Day,City,-0.4,46.8,1191.0,46.4,587,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,454.4,0.767,1.2,0.1
Purchase Consideration: Bud Light,Overall,Urbanization,ULTRA Club New Members Day,Rural,-1.0,47.1,277.0,46.1,148,2.0,2.0,2.0,2.5,2.5,2.5,3.2,3.2,3.2,3.9,3.9,3.9,114.0,0.603,1.9,0.2
Purchase Consideration: Bud Light,Overall,Urbanization,ULTRA Club New Members Day,Suburb,-0.2,44.8,564.0,44.6,270,1.8,1.8,1.8,2.2,2.2,2.2,2.9,2.9,2.9,3.4,3.4,3.4,204.8,0.908,1.4,0.1
Purchase Consideration: Bud Light,Overall,Urbanization,The Busch Guide: Shelter,City,4.3,46.8,1191.0,51.2,600,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,455.3,0.003,1.4,0.1
Purchase Consideration: Bud Light,Overall,Urbanization,The Busch Guide: Shelter,Rural,2.2,47.1,277.0,49.2,142,2.6,2.6,2.6,3.2,3.2,3.2,4.1,4.1,4.1,4.9,4.9,4.9,106.2,0.392,2.2,0.2
Purchase Consideration: Bud Light,Overall,Urbanization,The Busch Guide: Shelter,Suburb,6.1,44.8,564.0,50.9,273,1.7,1.7,1.7,2.1,2.1,2.1,2.6,2.6,2.6,3.1,3.1,3.1,214.2,0.0,1.5,0.2
Purchase Consideration: Bud Light,Overall,Urbanization,Bud Light: Easy to Summer.mp4,City,4.4,46.8,1191.0,51.2,562,1.4,1.4,1.4,1.7,1.7,1.7,2.1,2.1,2.1,2.6,2.6,2.6,429.0,0.001,1.3,0.1
Purchase Consideration: Bud Light,Overall,Urbanization,Bud Light: Easy to Summer.mp4,Rural,2.3,47.1,277.0,49.4,125,2.3,2.3,2.3,2.9,2.9,2.9,3.7,3.7,3.7,4.4,4.4,4.4,91.7,0.297,2.0,0.2
Purchase Consideration: Bud Light,Overall,Urbanization,Bud Light: Easy to Summer.mp4,Suburb,5.3,44.8,564.0,50.1,322,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,244.7,0.0,1.3,0.1
Purchase Consideration: Bud Light,Overall,Urbanization,Budweiser: Griffey Father’s Day,City,2.9,46.8,1191.0,49.7,562,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,2.9,2.9,2.9,430.8,0.053,1.4,0.1
Purchase Consideration: Bud Light,Overall,Urbanization,Budweiser: Griffey Father’s Day,Rural,1.3,47.1,277.0,48.4,133,2.0,2.0,2.0,2.5,2.5,2.5,3.2,3.2,3.2,3.8,3.8,3.8,97.6,0.489,1.8,0.2
Purchase Consideration: Bud Light,Overall,Urbanization,Budweiser: Griffey Father’s Day,Suburb,2.6,44.8,564.0,47.3,297,1.8,1.8,1.8,2.3,2.3,2.3,2.9,2.9,2.9,3.5,3.5,3.5,229.0,0.15,1.7,0.2
Purchase Consideration: Bud Light,Overall,Urbanization,Bud Light: NFL Pros,City,0.7,46.8,1191.0,47.5,585,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,454.7,0.649,1.3,0.1
Purchase Consideration: Bud Light,Overall,Urbanization,Bud Light: NFL Pros,Rural,-1.1,47.1,277.0,46.0,134,2.3,2.3,2.3,2.8,2.8,2.8,3.6,3.6,3.6,4.3,4.3,4.3,100.3,0.613,1.8,0.2
Purchase Consideration: Bud Light,Overall,Urbanization,Bud Light: NFL Pros,Suburb,2.7,44.8,564.0,47.5,290,1.7,1.7,1.7,2.1,2.1,2.1,2.6,2.6,2.6,3.2,3.2,3.2,223.5,0.094,1.4,0.1
Purchase Consideration: Bud Light,Overall,Urbanization,Anheuser-Busch _ That’s Who We Are,City,4.3,46.8,1191.0,51.1,573,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,430.2,0.001,1.2,0.1
Purchase Consideration: Bud Light,Overall,Urbanization,Anheuser-Busch _ That’s Who We Are,Rural,3.6,47.1,277.0,50.7,118,2.2,2.2,2.2,2.7,2.7,2.7,3.5,3.5,3.5,4.1,4.1,4.1,87.8,0.086,1.8,0.2
Purchase Consideration: Bud Light,Overall,Urbanization,Anheuser-Busch _ That’s Who We Are,Suburb,5.1,44.8,564.0,49.9,270,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.0,3.0,3.0,195.7,0.001,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,ULTRA Club New Members Day,21 - 35,1.5,55.3,561.0,56.7,297,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.8,2.8,2.8,281.4,0.318,1.0,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,ULTRA Club New Members Day,35-54,1.0,52.1,372.0,53.1,190,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,158.5,0.454,1.2,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,ULTRA Club New Members Day,55+,0.7,46.9,106.0,47.7,39,2.7,2.7,2.7,3.3,3.3,3.3,4.3,4.3,4.3,5.1,5.1,5.1,36.8,0.787,2.2,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,The Busch Guide: Shelter,21 - 35,9.0,55.3,561.0,64.2,294,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,278.2,0.0,1.3,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,The Busch Guide: Shelter,35-54,10.9,52.1,372.0,63.0,186,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,154.8,0.0,1.6,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,The Busch Guide: Shelter,55+,12.6,46.9,106.0,59.5,48,2.9,2.9,2.9,3.6,3.6,3.6,4.6,4.6,4.6,5.5,5.5,5.5,45.9,0.0,2.8,0.3
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Bud Light: Easy to Summer.mp4,21 - 35,1.4,55.3,561.0,56.7,276,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.3,3.3,3.3,262.7,0.404,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Bud Light: Easy to Summer.mp4,35-54,4.3,52.1,372.0,56.3,187,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,153.7,0.005,1.5,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Bud Light: Easy to Summer.mp4,55+,6.8,46.9,106.0,53.8,40,2.2,2.2,2.2,2.7,2.7,2.7,3.5,3.5,3.5,4.2,4.2,4.2,37.8,0.001,2.2,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Budweiser: Griffey Father’s Day,21 - 35,3.8,55.3,561.0,59.1,274,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,257.5,0.013,1.3,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Budweiser: Griffey Father’s Day,35-54,1.0,52.1,372.0,53.1,185,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,152.5,0.526,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Budweiser: Griffey Father’s Day,55+,-1.6,46.9,106.0,45.3,51,2.5,2.5,2.5,3.1,3.1,3.1,4.0,4.0,4.0,4.8,4.8,4.8,48.5,0.511,2.3,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Bud Light: NFL Pros,21 - 35,1.8,55.3,561.0,57.1,295,1.7,1.7,1.7,2.2,2.2,2.2,2.8,2.8,2.8,3.3,3.3,3.3,278.9,0.287,1.5,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Bud Light: NFL Pros,35-54,3.3,52.1,372.0,55.4,170,1.4,1.4,1.4,1.8,1.8,1.8,2.2,2.2,2.2,2.7,2.7,2.7,140.9,0.015,1.3,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Bud Light: NFL Pros,55+,5.2,46.9,106.0,52.1,38,2.4,2.4,2.4,3.0,3.0,3.0,3.9,3.9,3.9,4.6,4.6,4.6,36.1,0.028,2.3,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Anheuser-Busch _ That’s Who We Are,21 - 35,6.5,55.3,561.0,61.7,278,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.8,2.8,2.8,261.1,0.0,1.5,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Anheuser-Busch _ That’s Who We Are,35-54,5.4,52.1,372.0,57.5,177,1.5,1.5,1.5,1.8,1.8,1.8,2.3,2.3,2.3,2.8,2.8,2.8,142.8,0.0,1.5,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Age,Anheuser-Busch _ That’s Who We Are,55+,3.9,46.9,106.0,50.9,46,2.4,2.4,2.4,2.9,2.9,2.9,3.7,3.7,3.7,4.5,4.5,4.5,43.6,0.086,2.0,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Bud Light,1.2,52.4,780.0,53.6,398,1.3,1.3,1.3,1.7,1.7,1.7,2.1,2.1,2.1,2.5,2.5,2.5,317.9,0.371,1.1,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Budweiser,1.0,52.6,722.0,53.7,373,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,295.0,0.441,1.2,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Busch,0.8,53.0,554.0,53.8,279,1.5,1.5,1.5,1.8,1.8,1.8,2.3,2.3,2.3,2.8,2.8,2.8,220.0,0.557,1.2,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Corona,1.0,52.6,734.0,53.5,372,1.3,1.3,1.3,1.6,1.6,1.6,2.1,2.1,2.1,2.5,2.5,2.5,294.7,0.447,1.1,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Cutwater,0.2,55.8,142.0,56.0,59,1.4,1.4,1.4,1.8,1.8,1.8,2.3,2.3,2.3,2.7,2.7,2.7,49.1,0.896,1.2,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Heineken,0.8,52.5,660.0,53.3,334,1.4,1.4,1.4,1.7,1.7,1.7,2.2,2.2,2.2,2.6,2.6,2.6,266.1,0.53,1.1,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Michelob ULTRA,0.9,51.9,542.0,52.8,261,1.5,1.5,1.5,1.8,1.8,1.8,2.3,2.3,2.3,2.8,2.8,2.8,208.1,0.523,1.2,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Pabst Blue Ribbon,0.7,51.8,423.0,52.6,193,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,152.6,0.624,1.3,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,Truly,1.1,52.5,392.0,53.6,217,1.3,1.3,1.3,1.7,1.7,1.7,2.1,2.1,2.1,2.5,2.5,2.5,174.6,0.412,1.1,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,ULTRA Club New Members Day,White Claw,1.0,52.4,569.0,53.4,276,1.3,1.3,1.3,1.6,1.6,1.6,2.1,2.1,2.1,2.5,2.5,2.5,223.0,0.429,1.1,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Bud Light,10.5,52.4,780.0,62.9,383,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,297.4,0.0,1.5,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Budweiser,10.6,52.6,722.0,63.3,357,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,278.5,0.0,1.6,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Busch,10.3,53.0,554.0,63.3,259,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.3,3.3,3.3,201.2,0.0,1.6,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Corona,10.7,52.6,734.0,63.2,372,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,287.7,0.0,1.5,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Cutwater,10.7,55.8,142.0,66.6,62,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,46.4,0.0,1.6,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Heineken,10.6,52.5,660.0,63.1,321,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,250.8,0.0,1.6,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Michelob ULTRA,10.5,51.9,542.0,62.4,247,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,191.7,0.0,1.6,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Pabst Blue Ribbon,10.5,51.8,423.0,62.3,190,1.8,1.8,1.8,2.2,2.2,2.2,2.9,2.9,2.9,3.4,3.4,3.4,148.9,0.0,1.7,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,Truly,10.0,52.5,392.0,62.5,197,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,155.0,0.0,1.5,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,The Busch Guide: Shelter,White Claw,9.9,52.4,569.0,62.3,283,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,3.0,3.0,3.0,219.5,0.0,1.5,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Bud Light,3.8,52.4,780.0,56.2,376,1.5,1.5,1.5,1.9,1.9,1.9,2.4,2.4,2.4,2.9,2.9,2.9,285.9,0.01,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Budweiser,4.0,52.6,722.0,56.6,333,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,3.0,3.0,3.0,254.8,0.008,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Busch,3.7,53.0,554.0,56.7,240,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,186.3,0.018,1.5,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Corona,4.1,52.6,734.0,56.7,347,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,2.9,2.9,2.9,264.7,0.006,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Cutwater,3.5,55.8,142.0,59.3,76,1.8,1.8,1.8,2.2,2.2,2.2,2.8,2.8,2.8,3.4,3.4,3.4,60.2,0.042,1.7,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Heineken,4.2,52.5,660.0,56.7,307,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,3.0,3.0,3.0,238.0,0.006,1.5,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Michelob ULTRA,4.1,51.9,542.0,56.0,249,1.7,1.7,1.7,2.1,2.1,2.1,2.6,2.6,2.6,3.1,3.1,3.1,193.8,0.011,1.6,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Pabst Blue Ribbon,4.0,51.8,423.0,55.8,190,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,147.6,0.011,1.5,0.2
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,Truly,3.1,52.5,392.0,55.7,206,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,3.0,3.0,3.0,166.0,0.039,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Bud Light: Easy to Summer.mp4,White Claw,3.4,52.4,569.0,55.8,280,1.6,1.6,1.6,1.9,1.9,1.9,2.5,2.5,2.5,2.9,2.9,2.9,219.9,0.024,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Bud Light,1.6,52.4,780.0,54.0,401,1.7,1.7,1.7,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,306.3,0.32,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Budweiser,1.4,52.6,722.0,54.0,359,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,276.5,0.383,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Busch,1.3,53.0,554.0,54.3,273,1.8,1.8,1.8,2.2,2.2,2.2,2.8,2.8,2.8,3.4,3.4,3.4,211.2,0.457,1.5,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Corona,1.6,52.6,734.0,54.2,363,1.6,1.6,1.6,2.0,2.0,2.0,2.6,2.6,2.6,3.1,3.1,3.1,277.5,0.301,1.3,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Cutwater,3.4,55.8,142.0,59.3,68,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.3,3.3,3.3,52.6,0.04,1.5,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Heineken,1.4,52.5,660.0,53.9,320,1.7,1.7,1.7,2.1,2.1,2.1,2.7,2.7,2.7,3.2,3.2,3.2,246.4,0.386,1.4,0.1
Purchase Consideration: Busch,Anheuser-Busch Customers,Aided Awareness,Budweiser: Griffey Father’s Day,Michelob ULTRA,1.1,51.9,542.0,53.0,256,1.8,1.8,1.8,2.2,2.2,2.2,2.8,2.8,2.8,3.4,3.4,3.4,200.4,0.538,1.5,0.2
